VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2.0,2020-01-01 00:30:08,2020-01-01 00:36:22,5.0,0.71,2.0,6.0,0.5,0.5,0.0,0.0,0.3,9.8,2.5
2.0,2020-01-01 00:39:24,2020-01-01 01:16:45,5.0,9.86,1.0,33.0,0.5,0.5,3.0,0.0,0.3,39.8,2.5
1.0,2020-01-01 00:13:52,2020-01-01 00:28:30,1.0,3.5,2.0,13.5,3.0,0.5,0.0,0.0,0.3,17.3,2.5
1.0,2020-01-01 00:52:43,2020-01-01 01:05:08,1.0,1.9,1.0,10.0,3.0,0.5,2.75,0.0,0.3,16.55,2.5
2.0,2020-01-01 00:34:30,2020-01-01 00:47:22,1.0,2.45,1.0,11.0,0.5,0.5,4.44,0.0,0.3,19.24,2.5
2.0,2020-01-01 00:56:21,2020-01-01 01:06:30,1.0,2.32,1.0,9.5,0.5,0.5,1.5,0.0,0.3,14.8,2.5
1.0,2020-01-01 00:25:44,2020-01-01 00:32:37,0.0,2.7,2.0,10.0,0.5,0.5,0.0,0.0,0.3,11.3,0.0
2.0,2020-01-01 00:06:18,2020-01-01 00:06:19,3.0,0.0,1.0,62.0,0.0,0.0,15.58,0.0,0.3,77.88,0.0
2.0,2020-01-01 00:26:29,2020-01-01 00:54:22,2.0,18.57,1.0,50.0,0.5,0.5,10.0,0.0,0.3,61.3,0.0
2.0,2020-01-01 00:57:51,2020-01-01 01:20:33,3.0,15.52,1.0,42.0,0.5,0.5,11.11,12.24,0.3,66.65,0.0
2.0,2020-01-01 00:22:15,2020-01-01 00:42:41,2.0,1.24,2.0,13.0,0.5,0.5,0.0,0.0,0.3,16.8,2.5
2.0,2020-01-01 00:43:27,2020-01-01 01:01:10,4.0,1.55,1.0,12.0,0.5,0.5,3.16,0.0,0.3,18.96,2.5
2.0,2020-01-01 00:34:28,2020-01-01 00:42:29,1.0,0.63,1.0,6.5,0.5,0.5,1.7,0.0,0.3,12.0,2.5
2.0,2020-01-01 00:47:03,2020-01-01 00:55:47,1.0,1.64,1.0,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5
